,MonthlyIncome,Male,Age,Purchased
530,10708,0,34,1
531,12184,0,27,1
532,3943,0,27,0
533,1477,0,21,0
534,8818,0,30,1
535,11740,0,29,1
536,13628,0,27,1
537,1463,0,27,0
538,5357,1,23,0
539,1544,0,24,0
540,417,1,26,0
541,2738,0,34,0
542,550,1,27,0
543,9700,0,27,1
544,8144,1,21,0
545,7336,0,20,0
546,5588,1,34,1
547,4682,0,24,1
548,482,1,30,1
549,3782,0,34,1
550,10036,1,20,0
551,1957,0,27,0
552,639,0,27,0
553,10476,1,30,1
554,2503,1,32,0
555,9070,1,29,1
556,1186,1,26,1
557,3383,0,34,0
558,3972,1,21,0
559,3697,0,29,0
560,2971,1,31,0
561,908,1,28,0
562,4162,0,22,0
563,201,0,25,0
564,16344,0,27,1
565,3030,0,34,1
566,1211,1,21,0
567,4227,0,30,0
568,534,0,24,1
569,3531,1,24,0
570,1568,0,26,1
571,7833,0,25,0
572,4198,1,25,0
573,1990,0,19,0
574,7258,1,32,1
575,6190,1,18,0
576,7281,1,19,0
577,1420,1,24,0
578,6886,0,33,0
579,550,1,19,0
580,3648,1,29,1
581,2912,0,24,0
582,6887,0,26,0
583,7714,0,22,0
584,6243,0,34,0
585,9822,0,26,1
586,3540,0,33,0
587,7604,1,31,0
588,1750,1,34,0
589,903,1,27,0
590,1961,1,30,0
591,764,0,19,0
592,1891,0,34,0
593,1047,0,20,0
594,3450,0,33,0
595,5652,1,34,1
596,887,1,18,0
597,1387,1,28,0
598,4004,0,32,1
599,3847,1,19,0
600,2880,1,24,0
601,7969,1,20,0
602,3444,0,18,0
603,5074,0,29,0
604,4890,0,31,0
605,1879,0,32,0
606,7956,0,31,1
607,3264,1,34,0
608,1240,1,33,1
609,3181,1,31,0
610,2812,1,34,1
611,3838,1,18,0
612,2904,1,30,0
613,366,0,21,0
614,853,0,19,0
615,5400,1,30,1
616,235,0,33,0
617,1952,1,25,0
618,752,1,34,1
619,1406,0,31,1
620,855,0,33,0
621,4738,0,30,1
622,4514,1,30,0
623,4069,0,22,0
624,1225,0,20,0
625,384,0,26,1
626,5758,1,25,1
627,339,1,26,0
628,3701,0,20,0
629,3702,1,24,1
630,5110,0,28,0
631,6664,1,34,1
632,1541,0,33,0
633,4849,1,29,0
634,4710,0,34,0
635,9378,1,27,0
636,3804,1,34,1
637,4782,0,23,0
638,9212,0,27,0
639,2800,1,34,0
640,1154,0,34,1
641,10786,0,26,1
642,4613,0,24,0
643,850,1,22,0
644,8607,1,25,0
645,4174,1,25,1
646,1320,1,19,0
647,2882,1,24,1
648,804,0,23,0
649,807,1,25,0
650,304,0,34,0
651,2720,1,23,0
652,7488,0,23,1
653,5866,1,26,0
654,2901,0,31,0
655,1860,0,34,1
656,16608,1,34,1
657,11022,0,34,1
658,1604,1,19,0
659,1490,1,27,0
660,1924,0,27,1
661,9254,0,34,1
662,1161,0,31,0
663,2703,0,21,0
664,4045,1,30,0
665,4464,1,23,0
666,3231,1,20,0
667,1020,1,24,0
668,1750,0,33,0
669,837,0,18,0
670,2042,0,28,0
671,6862,0,29,1
672,8605,1,18,0
673,846,0,25,0
674,4190,1,33,0
675,224,1,24,0
676,8043,0,34,0
677,2792,1,23,0
678,979,0,25,0
679,1490,1,18,0
680,5240,0,21,0
681,2713,1,31,0
682,325,0,22,0
683,4292,1,18,0
684,5044,1,31,1
685,1709,0,31,0
686,5234,0,34,0
687,1454,0,34,0
688,1193,1,33,0
689,9433,1,26,0
690,2331,1,29,0
691,3432,0,18,0
692,942,1,19,0
693,872,1,24,0
694,2546,0,29,1
695,6178,0,29,1
696,780,0,25,0
697,107,1,32,0
698,2096,1,27,0
699,4563,1,31,0
700,6098,1,31,1
701,134,1,20,0
702,4351,0,29,0
703,5757,0,18,0
704,10426,0,32,0
705,1957,1,29,0
706,848,1,34,0
707,323,1,27,0
708,7018,1,27,0
709,3776,1,34,0
710,697,1,18,0
711,8291,1,33,0
712,405,1,31,0
713,2648,0,30,0
714,479,0,22,0
715,872,1,26,0
716,7341,0,21,0
717,1430,1,30,0
718,3985,0,29,0
719,4710,0,23,0
720,924,0,27,0
721,10732,0,31,1
722,1101,1,34,0
723,14646,1,30,1
724,3676,1,30,0
725,1830,1,25,0
726,5914,0,34,1
727,16706,0,24,1
728,7892,0,32,1
729,2076,0,23,0
730,561,0,33,0
731,1630,1,22,0
732,2666,1,25,0
733,1722,1,28,0
734,2734,1,19,0
735,986,1,34,1
736,2068,0,27,0
737,745,1,21,0
738,5278,0,27,0
739,5692,1,31,1
740,1319,0,33,0
741,2695,1,21,0
742,7052,1,32,1
743,918,0,21,0
744,4930,0,24,1
745,4094,1,30,1
746,1501,0,19,0
747,1950,1,18,0
748,1818,1,24,0
749,2668,1,34,1
750,8886,0,20,0
751,17292,1,33,1
752,1219,1,28,0
753,20450,0,34,1
754,3501,1,18,0
755,3243,0,19,0
756,995,0,23,0
757,7488,0,24,1
758,10154,0,34,1
759,959,1,31,0
760,10292,0,34,1
761,8532,0,19,0
762,7822,0,31,0
763,1354,0,29,0
764,11808,0,34,1
765,4613,1,22,0
766,7936,0,20,0
767,998,1,22,0
768,4300,0,28,1
769,15382,1,34,1
770,4551,1,18,0
771,2530,1,20,0
772,1647,1,24,0
773,1182,1,33,0
774,1361,0,24,0
775,6311,0,20,0
776,1101,0,32,0
777,2974,0,34,1
778,4278,1,22,0
779,5862,1,26,1
780,15632,0,34,1
781,2618,0,29,1
782,7597,0,25,0
783,1584,1,33,1
784,966,1,18,0
785,2032,0,29,1
786,7428,0,31,0
787,3670,1,18,0
788,8291,0,31,0
789,8297,0,34,0
790,1592,1,26,1
791,756,1,31,0
792,1382,0,28,1
793,5262,1,34,1
794,5454,1,33,0
795,3008,0,23,1
796,5877,0,28,0
797,1632,1,31,0
798,3627,0,19,0
799,5611,1,20,0
800,3651,0,23,0
801,657,0,20,0
802,1031,0,19,0
803,5280,1,26,1
804,5280,0,34,1
805,778,1,21,0
806,5540,1,34,1
807,624,0,25,1
808,7093,0,24,0
809,779,0,19,0
810,7318,0,34,1
811,5412,0,34,1
812,459,1,21,0
813,3824,1,31,1
814,1906,0,21,0
815,814,1,32,0
816,1181,1,21,0
817,572,1,27,0
818,1399,1,24,0
819,1440,0,29,0
820,2039,1,25,0
821,2394,0,18,0
822,18646,0,23,1
823,6900,0,26,0
824,4694,1,27,0
825,5452,0,27,1
826,4044,1,18,0
827,1466,0,25,0
828,1278,1,20,0
829,988,0,25,1
830,3609,0,33,0
831,3129,0,22,0
832,3926,1,25,0
833,2427,0,27,0
834,1202,0,23,0
835,7574,1,20,0
836,4023,0,27,0
837,2886,0,33,0
838,1811,0,21,0
839,3835,0,23,0
840,377,1,23,0
841,2219,0,26,0
842,2291,0,20,0
843,9414,0,34,1
844,2996,0,26,0
845,2770,1,31,0
846,6529,0,34,0
847,4423,1,24,0
848,5074,0,32,1
849,8614,0,29,1
850,3516,0,28,0
851,1451,1,26,0
852,424,1,29,0
853,3086,0,22,0
854,2231,1,20,0
855,8336,1,21,0
856,1649,0,28,0
857,2357,1,21,0
858,857,1,29,0
859,2164,0,25,0
860,3364,0,34,1
861,3054,1,34,1
862,8304,1,33,1
863,7642,1,21,0
864,1809,1,34,0
865,4864,0,34,0
866,9518,0,24,0
867,5482,1,23,0
868,5685,0,22,0
869,13604,0,31,1
870,15448,0,24,1
871,1702,0,32,1
872,862,1,23,0
873,4256,1,31,1
874,2587,0,27,0
875,5652,0,24,0
876,6340,1,32,0
877,451,1,21,0
878,570,1,32,0
879,3708,0,29,1
880,3576,1,25,0
881,4073,1,21,0
882,1930,0,21,0
883,8223,0,25,0
884,6810,1,24,1
885,1260,1,19,0
886,446,1,26,0
887,7314,0,33,0
888,540,0,32,0
889,10614,1,31,1
890,6276,1,20,0
891,4710,1,18,0
892,2517,1,24,0
893,7526,1,23,0
894,762,0,34,0
895,2173,1,24,0
896,5970,1,19,0
897,907,0,18,0
898,5828,0,34,1
899,2946,1,30,0
900,5504,0,19,0
901,5460,0,25,1
902,5996,0,34,1
903,5482,1,21,0
904,14634,1,29,1
905,6212,0,18,0
906,669,1,18,0
907,759,0,21,0
908,1931,1,30,0
909,161,0,31,0
910,2699,0,30,0
911,3972,1,28,1
912,3106,0,29,0
913,14994,0,31,1
914,827,0,22,0
915,682,0,27,0
916,4056,1,24,1
917,2374,0,26,0
918,2956,0,25,1
919,8271,1,23,0
920,9146,0,23,0
921,335,0,30,0
922,11416,0,34,1
923,7423,1,29,0
924,4615,1,29,0
925,10345,0,21,0
926,9270,1,34,0
927,6290,0,25,1
928,1658,0,34,1
929,1720,0,32,0
930,2281,0,31,0
931,284,0,30,0
932,4106,1,28,1
933,4176,0,23,0
934,5070,0,34,1
935,1746,0,33,0
936,5370,1,29,0
937,6750,0,32,1
938,6295,1,22,0
939,2932,0,25,0
940,3254,0,20,0
941,7766,0,29,1
942,5327,0,31,0
943,7438,0,31,0
944,3030,1,24,1
945,856,0,18,0
946,9226,1,27,0
947,8879,1,31,0
948,1280,0,24,0
949,17342,1,23,1
950,926,0,23,0
951,8168,0,25,1
952,6806,1,28,0
953,414,0,32,0
954,3563,0,34,0
955,7347,1,32,0
956,2180,0,24,0
957,6289,1,25,0
958,2812,1,27,0
959,4796,0,33,0
960,579,0,24,0
961,3112,0,30,0
962,7866,1,29,0
963,2612,1,28,0
964,7232,0,24,0
965,1743,1,24,0
966,7496,0,30,1
967,3450,1,25,1
968,487,1,23,0
969,3218,1,26,0
970,4328,0,19,0
971,820,1,34,1
972,9994,0,23,1
973,724,1,22,0
974,6396,1,34,1
975,13266,0,26,1
976,334,1,21,0
977,1118,0,34,1
978,2540,1,27,0
979,18892,1,31,1
980,2533,1,27,0
981,1609,0,25,0
982,1604,0,25,1
983,4953,1,24,0
984,5320,0,24,1
985,1005,0,34,0
986,6090,1,21,0
987,3340,0,20,0
988,414,0,28,0
989,2087,0,22,0
990,2727,1,28,0
991,1379,1,33,0
992,1354,1,23,0
993,192,1,34,0
994,3211,0,30,0
995,411,0,31,0
996,163,0,28,0
997,2476,1,26,0
998,1001,0,29,0
999,4799,0,20,0
