,Gender,Total,Rating
300,Male,209.62,6.7
301,Male,40.96,4.7
302,Male,51.04,4.4
303,Female,215.0,4.7
304,Female,125.66,8.6
305,Male,530.67,4.3
306,Female,295.69,9.6
307,Female,745.84,4.1
308,Female,83.41,4.7
309,Female,172.01,7.8
310,Male,503.56,5.5
311,Male,145.59,9.7
312,Female,74.71,4.4
313,Female,146.95,5.0
314,Female,820.36,4.4
315,Male,208.68,5.2
316,Female,66.4,7.3
317,Male,392.65,4.9
318,Female,218.07,8.1
319,Male,185.09,8.4
320,Female,216.69,5.5
321,Female,41.39,8.4
322,Male,96.14,9.8
323,Female,324.29,6.7
324,Male,135.58,9.4
325,Male,410.51,6.4
326,Male,523.84,5.4
327,Male,395.89,8.6
328,Male,214.75,4.0
329,Male,152.71,7.6
330,Male,208.09,6.8
331,Male,103.64,9.1
332,Male,404.36,5.5
333,Male,49.31,7.9
334,Male,77.18,8.5
335,Female,149.36,9.1
336,Male,721.98,7.5
337,Female,365.08,5.2
338,Female,150.1,9.5
339,Female,404.65,8.9
340,Male,151.48,7.8
341,Female,411.38,8.9
342,Female,565.22,7.7
343,Female,509.41,9.3
344,Male,140.65,6.2
345,Female,736.44,7.6
346,Male,75.55,7.3
347,Female,749.7,4.7
348,Male,191.25,5.1
349,Female,141.75,4.8
350,Female,1042.65,6.6
351,Male,379.92,5.5
352,Female,402.27,8.5
353,Male,255.15,4.8
354,Female,31.75,8.4
355,Female,374.39,7.8
356,Female,394.28,9.3
357,Female,1002.12,5.2
358,Male,86.62,6.5
359,Male,78.72,5.6
360,Male,680.06,7.4
361,Female,793.55,9.1
362,Male,209.56,8.0
363,Male,461.29,7.2
364,Female,173.21,7.1
365,Female,343.06,9.1
366,Female,484.97,5.6
367,Male,276.95,6.0
368,Female,150.78,5.4
369,Male,203.18,7.8
370,Female,193.01,9.9
371,Female,128.02,4.9
372,Female,441.69,5.2
373,Male,265.1,8.9
374,Female,352.22,9.1
375,Female,507.68,7.0
376,Female,334.34,9.6
377,Male,701.85,8.7
378,Male,407.32,9.4
379,Female,99.33,4.0
380,Male,345.79,7.5
381,Female,55.88,4.2
382,Female,523.37,9.9
383,Female,314.54,4.2
384,Female,214.94,9.9
385,Male,79.61,5.8
386,Male,294.65,6.0
387,Female,339.36,10.0
388,Female,510.96,9.5
389,Male,133.92,6.6
390,Female,253.51,8.1
391,Female,398.48,9.7
392,Male,80.66,7.2
393,Female,548.73,6.2
394,Female,83.73,7.3
395,Female,406.88,4.3
396,Female,284.92,4.6
397,Male,128.43,5.8
398,Female,258.68,8.3
399,Male,181.82,8.0
400,Female,248.41,9.4
401,Male,194.12,6.2
402,Male,14.68,9.8
403,Female,208.69,9.6
404,Female,718.76,4.9
405,Male,282.49,8.0
406,Male,72.4,7.8
407,Female,288.58,4.1
408,Female,237.43,5.5
409,Female,125.06,5.4
410,Female,359.2,5.1
411,Male,45.93,6.9
412,Male,110.09,7.8
413,Male,81.4,6.6
414,Male,427.81,9.2
415,Male,100.92,7.8
416,Female,190.6,8.7
417,Female,85.59,9.2
418,Female,120.16,8.3
419,Female,185.37,8.2
420,Female,121.59,7.5
421,Female,264.76,9.8
422,Female,1020.7,8.7
423,Male,213.53,6.7
424,Male,17.09,5.0
425,Male,383.76,7.0
426,Male,390.8,8.9
427,Female,65.74,8.0
428,Male,353.17,6.9
429,Female,951.82,7.3
430,Male,145.07,6.9
431,Male,90.87,5.7
432,Female,147.8,6.4
433,Male,702.22,9.6
434,Female,49.81,6.8
435,Male,937.82,9.0
436,Male,348.31,9.6
437,Male,214.14,7.7
438,Male,71.57,7.0
439,Female,343.22,6.5
440,Male,91.56,8.1
441,Female,742.81,4.3
442,Female,843.03,6.5
443,Male,13.42,9.5
444,Female,140.38,9.7
445,Female,20.11,9.5
446,Male,290.43,8.9
447,Male,144.08,6.5
448,Female,28.42,5.3
449,Female,41.08,9.6
450,Female,470.67,6.7
451,Male,138.66,7.6
452,Female,333.95,4.8
453,Male,26.25,5.5
454,Male,87.23,4.7
455,Female,155.19,6.9
456,Female,731.43,4.5
457,Male,833.6,6.2
458,Female,488.98,7.6
459,Male,37.68,7.9
460,Male,212.73,4.5
461,Female,767.02,8.7
462,Female,310.59,6.1
463,Female,23.75,6.4
464,Male,269.54,9.1
465,Female,572.78,7.1
466,Female,273.05,7.7
467,Male,233.23,4.5
468,Male,22.66,7.2
469,Female,103.78,8.4
470,Female,527.75,5.4
471,Female,168.21,9.7
472,Male,452.86,5.5
473,Male,609.59,4.6
474,Female,338.31,6.6
475,Male,205.32,6.3
476,Female,174.62,4.2
477,Male,353.09,4.4
478,Male,360.88,6.7
479,Male,40.53,6.7
480,Male,554.15,8.4
481,Female,344.4,6.2
482,Male,194.98,5.0
483,Male,633.99,6.0
484,Female,388.29,7.0
485,Female,207.86,6.6
486,Female,431.44,7.3
487,Male,156.03,8.3
488,Male,24.11,4.3
489,Female,734.08,9.8
490,Female,72.87,8.2
491,Female,206.43,7.2
492,Female,212.69,8.7
493,Female,127.26,8.4
494,Male,209.77,7.1
495,Male,637.73,5.5
496,Female,132.76,8.5
497,Female,568.51,6.2
498,Female,103.04,8.9
499,Female,432.77,9.6
500,Male,77.67,5.4
501,Female,33.49,9.1
502,Male,145.74,9.0
503,Female,195.95,6.3
504,Male,92.87,9.5
505,Male,203.11,9.8
506,Female,152.78,6.7
507,Female,529.52,7.7
508,Male,321.77,7.0
509,Female,100.48,5.1
510,Female,666.94,6.2
511,Female,225.28,6.1
512,Female,398.96,9.3
513,Male,731.69,7.6
514,Male,429.17,8.2
515,Female,54.04,8.5
516,Male,288.02,9.8
517,Male,206.8,8.7
518,Male,72.93,9.7
519,Male,377.58,4.3
520,Female,143.99,7.7
521,Female,523.97,7.3
522,Female,235.87,5.9
523,Male,132.03,5.0
524,Male,514.77,8.0
525,Female,479.9,7.1
526,Male,164.68,9.0
527,Male,125.71,6.7
528,Female,570.78,6.1
529,Male,926.95,9.3
530,Male,160.21,7.0
531,Male,728.11,7.2
532,Male,240.98,8.2
533,Female,154.13,8.4
534,Female,148.68,6.2
535,Male,122.52,7.4
536,Female,77.66,5.0
537,Male,102.84,6.9
538,Female,306.81,4.9
539,Female,551.12,5.1
540,Male,96.64,9.1
541,Male,79.67,7.1
542,Female,84.76,5.0
543,Male,118.25,5.5
544,Female,74.76,9.2
545,Male,163.0,4.9
546,Female,308.91,8.9
547,Male,575.98,6.0
548,Female,270.58,4.2
549,Female,416.18,7.3
550,Male,180.4,6.5
551,Female,513.23,8.9
552,Female,550.37,9.7
553,Male,139.92,8.6
554,Male,142.0,6.9
555,Male,118.06,7.7
556,Female,151.28,9.5
557,Female,1034.46,4.5
558,Male,262.46,5.6
559,Female,228.12,8.2
560,Male,203.93,7.3
561,Male,936.6,4.4
562,Female,356.33,5.7
563,Male,469.41,5.0
564,Male,208.42,9.0
565,Female,852.7,6.3
566,Female,517.96,9.4
567,Female,621.24,7.7
568,Female,586.97,5.5
569,Female,543.75,4.1
570,Female,430.71,7.6
571,Male,280.04,8.6
572,Male,74.46,8.3
573,Male,152.02,8.1
574,Male,451.03,8.6
575,Male,597.63,6.3
576,Male,253.26,5.8
577,Male,133.43,6.2
578,Female,269.93,7.7
579,Male,145.97,8.1
580,Male,85.74,7.3
581,Female,326.26,8.4
582,Female,195.26,8.0
583,Female,75.94,9.5
584,Male,198.64,7.0
585,Male,217.18,9.8
586,Female,164.87,9.2
587,Female,226.06,7.7
588,Male,625.9,5.3
589,Male,76.76,4.4
590,Male,293.14,4.3
591,Female,178.16,9.4
592,Female,47.86,9.8
593,Female,236.88,4.8
594,Male,304.92,5.3
595,Male,46.68,8.7
596,Male,164.43,9.5
597,Female,440.94,5.3
598,Female,193.46,9.2
599,Female,147.67,9.6
600,Male,87.23,6.4
601,Female,68.24,4.5
602,Male,814.38,6.9
603,Female,343.41,7.8
604,Female,381.39,4.5
605,Male,133.35,8.6
606,Female,394.33,5.2
607,Female,209.12,6.4
608,Male,32.14,5.2
609,Male,121.57,8.9
610,Female,30.41,6.2
611,Female,935.27,6.7
612,Male,293.64,7.2
613,Male,84.98,9.0
614,Male,708.22,4.2
615,Female,365.9,4.2
616,Male,457.38,6.9
617,Male,461.53,4.4
618,Male,620.74,4.0
619,Female,273.8,8.5
620,Female,225.79,9.2
621,Female,96.19,9.8
622,Female,695.24,4.9
623,Female,874.12,4.4
624,Male,95.92,6.8
625,Female,165.65,9.1
626,Male,127.83,8.7
627,Male,867.09,5.0
628,Male,167.9,7.5
629,Female,12.69,8.2
630,Male,674.0,6.7
631,Male,246.68,5.4
632,Male,175.92,7.0
633,Male,314.06,4.7
634,Male,251.72,5.0
635,Male,697.94,5.0
636,Male,212.78,6.0
637,Female,48.51,6.3
638,Female,92.56,8.5
639,Male,165.12,7.5
640,Female,311.19,6.4
641,Female,743.82,4.7
642,Male,116.91,6.0
643,Female,609.17,4.0
644,Male,63.26,5.5
645,Male,182.95,8.7
646,Male,442.32,7.4
647,Male,35.31,5.6
648,Female,32.53,6.3
649,Male,259.77,7.1
650,Male,397.22,7.8
651,Female,351.6,9.9
652,Male,764.19,7.3
653,Male,352.67,5.1
654,Male,252.76,9.4
655,Female,49.42,5.8
656,Female,104.67,8.0
657,Female,277.67,7.9
658,Female,146.63,5.9
659,Male,58.22,4.9
660,Female,135.36,9.3
661,Male,125.98,7.9
662,Female,370.12,5.9
663,Female,914.55,9.9
664,Female,207.48,7.7
665,Female,204.25,7.6
666,Male,181.88,7.7
667,Female,75.47,6.4
668,Female,300.57,4.4
669,Female,85.3,4.1
670,Male,588.42,4.4
671,Male,196.14,5.5
672,Female,231.24,4.0
673,Male,282.58,9.3
674,Female,477.54,4.8
675,Male,175.92,4.6
676,Female,470.99,7.3
677,Female,308.57,6.0
678,Male,618.98,8.1
679,Male,305.55,9.4
680,Female,41.45,6.5
681,Female,36.55,7.0
682,Female,310.72,7.1
683,Male,45.11,6.6
684,Female,145.4,4.9
685,Female,103.11,6.4
686,Female,136.14,8.0
687,Male,667.38,4.3
688,Male,153.05,6.1
689,Female,211.36,7.5
690,Female,663.3,6.7
691,Male,404.54,5.2
692,Male,510.62,8.8
693,Female,539.34,9.5
694,Female,497.07,7.6
695,Female,458.69,6.6
696,Female,113.57,6.9
697,Male,261.2,4.3
698,Male,657.53,7.8
699,Male,1023.75,8.0
700,Female,507.44,9.6
701,Male,101.81,4.3
702,Female,207.58,5.0
703,Male,760.44,9.2
704,Female,835.29,6.3
705,Male,527.51,8.9
706,Female,180.6,7.6
707,Male,72.43,4.8
708,Male,131.21,9.1
709,Male,80.96,6.1
710,Male,507.91,9.1
711,Female,317.23,8.3
712,Female,733.6,7.2
713,Female,130.88,6.0
714,Male,829.08,8.5
715,Female,187.32,6.6
716,Female,525.23,4.5
717,Male,37.61,8.1
718,Male,142.95,7.2
719,Female,110.12,6.1
720,Female,187.87,7.1
721,Female,856.45,5.1
722,Male,138.98,7.9
723,Female,270.26,7.4
724,Male,98.03,7.4
725,Female,239.4,6.6
726,Male,175.05,5.9
727,Male,732.27,8.9
728,Male,408.49,6.8
729,Female,383.52,9.3
730,Female,93.74,4.4
731,Male,176.4,4.8
732,Male,20.68,9.5
733,Male,557.72,8.9
734,Male,56.41,6.4
735,Male,860.48,6.0
736,Female,596.82,8.1
737,Male,616.98,9.0
738,Male,769.1,6.0
739,Male,887.92,9.8
740,Male,408.73,8.5
741,Male,89.07,8.8
742,Female,150.42,8.8
743,Male,79.15,9.5
744,Female,266.03,5.6
745,Female,40.34,8.6
746,Male,684.92,5.2
747,Female,55.28,5.8
748,Female,116.14,8.0
749,Male,597.04,9.0
750,Female,93.74,4.1
751,Female,143.22,8.6
752,Female,182.91,7.0
753,Male,384.72,8.4
754,Female,267.34,7.4
755,Female,817.24,6.2
756,Female,300.22,4.9
757,Female,608.08,4.5
758,Male,197.92,5.6
759,Female,232.64,8.0
760,Female,810.6,5.6
761,Male,757.36,4.2
762,Female,536.59,9.9
763,Female,56.12,7.6
764,Male,233.1,6.6
765,Female,801.86,4.7
766,Female,239.59,9.8
767,Male,86.25,6.3
768,Female,401.69,7.9
769,Female,72.01,7.7
770,Female,401.27,4.5
771,Female,631.14,8.0
772,Female,499.73,5.7
773,Female,55.04,6.3
774,Male,137.86,6.0
775,Female,151.51,8.0
776,Male,480.03,4.2
777,Male,98.05,9.6
778,Male,132.56,6.1
779,Male,830.37,5.6
780,Male,183.12,8.3
781,Female,397.99,7.8
782,Female,32.15,4.1
783,Female,369.68,8.8
784,Female,53.34,4.1
785,Male,548.16,9.0
786,Male,603.88,5.5
787,Female,57.7,9.3
788,Male,190.48,5.6
789,Male,432.99,9.7
790,Male,48.73,4.0
791,Male,287.91,9.2
792,Female,1022.38,4.9
793,Male,680.61,9.3
794,Female,97.88,6.6
795,Male,57.08,4.3
796,Female,63.91,5.5
797,Female,257.14,8.1
798,Male,97.42,9.8
799,Male,455.12,9.4
800,Male,144.96,7.9
801,Female,253.68,5.1
802,Male,495.32,6.9
803,Female,462.67,8.0
804,Female,714.33,8.0
805,Female,325.37,4.2
806,Female,195.68,8.5
807,Female,210.97,9.0
808,Female,18.64,8.6
809,Female,652.89,6.0
810,Male,90.3,6.2
811,Female,422.73,5.0
812,Female,341.09,6.5
813,Male,99.91,6.0
814,Female,408.41,5.0
815,Female,446.96,5.0
816,Female,333.98,9.2
817,Male,284.59,9.6
818,Male,403.87,8.4
819,Male,247.59,6.0
820,Male,222.14,6.7
821,Female,100.13,4.1
822,Male,10.68,5.9
823,Female,216.44,8.7
824,Female,441.59,4.5
825,Female,92.44,6.6
826,Female,681.44,7.7
827,Male,130.03,8.5
828,Male,681.98,5.2
829,Female,779.31,4.3
830,Male,88.7,7.6
831,Male,262.79,9.5
832,Female,99.54,4.1
833,Male,95.86,9.2
834,Female,299.37,5.4
835,Male,55.0,5.8
836,Male,202.34,5.6
837,Male,281.17,5.1
838,Male,586.64,5.8
839,Female,184.09,5.0
840,Male,163.61,7.9
841,Male,63.32,6.0
842,Female,82.89,5.0
843,Female,31.23,8.9
844,Male,22.39,5.9
845,Male,295.41,5.9
846,Male,76.92,9.7
847,Female,23.5,8.6
848,Female,688.72,4.0
849,Female,624.33,4.2
850,Male,77.81,9.2
851,Female,206.81,9.2
852,Male,390.95,5.0
853,Female,554.29,10.0
854,Female,503.74,8.8
855,Female,345.02,4.2
856,Male,177.41,6.3
857,Female,118.9,8.2
858,Male,362.82,5.1
859,Female,450.1,5.0
860,Female,90.58,7.0
861,Male,26.8,7.8
862,Female,106.6,4.3
863,Female,375.36,7.0
864,Female,250.71,6.6
865,Male,106.5,7.3
866,Male,760.45,6.5
867,Female,131.92,4.9
868,Male,76.58,4.3
869,Male,271.28,9.3
870,Male,182.43,7.1
871,Male,59.32,9.6
872,Female,225.02,6.2
873,Male,561.08,9.9
874,Male,97.82,5.9
875,Male,548.18,6.3
876,Male,54.97,4.0
877,Male,41.74,6.1
878,Female,756.17,4.5
879,Female,101.64,8.6
880,Female,348.7,6.0
881,Female,85.51,9.5
882,Male,335.9,9.9
883,Female,216.85,7.5
884,Female,175.01,7.6
885,Male,335.01,5.0
886,Male,92.3,6.7
887,Female,771.44,9.5
888,Female,102.4,6.8
889,Male,807.66,5.6
890,Female,439.22,7.2
891,Female,486.44,8.1
892,Female,485.57,8.6
893,Male,149.0,9.4
894,Male,317.83,8.9
895,Male,832.94,4.2
896,Male,446.44,5.0
897,Female,297.8,8.8
898,Male,629.16,5.3
899,Male,331.13,4.6
900,Female,423.74,7.5
901,Male,193.07,5.1
902,Female,145.58,4.2
903,Male,84.75,8.1
904,Female,122.47,6.0
905,Female,329.2,7.9
906,Male,888.4,8.8
907,Female,435.12,6.6
908,Female,167.03,6.2
909,Female,514.6,4.2
910,Female,91.82,7.3
911,Female,235.75,8.6
912,Female,782.21,6.8
913,Male,431.26,7.6
914,Female,313.74,5.8
915,Female,223.59,4.1
916,Male,44.99,9.3
917,Female,397.61,6.8
918,Male,217.26,8.7
919,Female,82.72,6.3
920,Female,338.22,5.1
921,Female,103.13,7.0
922,Female,26.73,5.2
923,Female,611.08,6.6
924,Female,221.89,6.5
925,Female,57.88,9.0
926,Male,92.73,5.2
927,Female,374.41,6.8
928,Female,833.96,7.6
929,Male,53.15,7.2
930,Male,629.5,7.1
931,Female,175.04,9.5
932,Female,781.62,5.1
933,Male,470.99,7.6
934,Female,397.84,9.8
935,Male,270.02,5.1
936,Female,579.84,7.5
937,Female,469.77,7.4
938,Female,290.08,4.2
939,Female,360.93,5.9
940,Male,279.38,6.9
941,Male,943.3,6.6
942,Female,479.64,5.7
943,Male,266.65,5.3
944,Male,74.09,4.2
945,Female,690.02,7.3
946,Male,176.92,5.3
947,Male,56.47,4.7
948,Male,188.0,7.9
949,Female,222.01,8.9
950,Male,125.72,9.3
951,Female,68.98,4.7
952,Female,263.97,8.7
953,Female,88.37,7.6
954,Male,415.23,5.7
955,Female,312.89,6.8
956,Male,477.13,5.4
957,Male,289.93,7.1
958,Female,165.9,7.8
959,Female,932.34,8.4
960,Male,96.58,9.8
961,Male,43.87,9.8
962,Female,16.27,7.4
963,Male,304.98,6.7
964,Male,69.99,6.4
965,Female,80.37,5.8
966,Female,314.68,7.2
967,Male,255.18,9.3
968,Female,49.77,9.5
969,Female,181.07,9.0
970,Female,888.62,9.0
971,Male,271.29,6.7
972,Male,640.04,5.5
973,Male,252.25,5.4
974,Male,180.87,8.2
975,Male,104.83,7.0
976,Female,313.57,8.5
977,Male,167.58,4.9
978,Female,26.72,5.1
979,Female,71.16,6.5
980,Male,250.28,9.8
981,Male,244.23,8.4
982,Female,921.19,7.4
983,Male,734.71,6.1
984,Male,708.32,6.0
985,Female,334.48,8.5
986,Female,31.0,4.3
987,Male,520.8,6.2
988,Male,864.57,4.3
989,Male,633.11,8.4
990,Female,296.94,4.5
991,Female,804.3,6.0
992,Male,121.86,8.8
993,Male,183.64,6.6
994,Female,64.0,5.9
995,Male,42.37,6.2
996,Female,1022.49,4.4
997,Male,33.43,7.7
998,Male,69.11,4.1
999,Female,649.3,6.6
